id,type,text,section,confidence,evidence,timestamp
DAT_409b58,Dataset,"In this study, we explored the therapeutic potential of artemisinins in rodent PCOS-like models and human patients with PCOS by evaluating the effect of artemi- sinin derivatives on testosterone level, estrous cycle, and polycystic ovarian morphology.",full_text,0.8,pattern:\bpatients\b,2025-10-21 04:13:53
EXP_c30439,Experiment,Protein-docking simulations and subse- quent functional experiments suggested that the inhibitory effect of artemisinins on CYP11A1 level largely depended on their direct binding to the proteolytic domain of LONP1.,full_text,0.8,pattern:\bexperiments\b,2025-10-21 04:13:53
DAT_a57533,Dataset,"Lastly, a pilot clinical trial was conducted to confirm the therapeutic effects of artemisinins in patients with PCOS.",full_text,0.8,pattern:\bpatients\b,2025-10-21 04:13:53
DAT_1be135,Dataset,"We found that dihydroartemisinin treatment effectively ameliorated hyperandrogenemia, re- duced anti-Müllerian hormone levels, improved polycystic ovarian morphology, and contributed to the normalization of menstruation in patients CONCLUSION: Our data demonstrated the ef- ficacy of artemisinins in alleviating symptoms associated with PCOS in both ",full_text,0.8,pattern:\bpatients\b,2025-10-21 04:13:53
CON_2e7f37,Conclusion,"Overall, our findings high- light the promising potential of artemisinins as effective drugs for the comprehensive treat- ment of PCOS.",full_text,0.8,pattern:\bour findings\b,2025-10-21 04:13:53
DAT_d0f272,Dataset,"Consequently, artemisinins show efficacy in ameliorating PCOS symptoms in both rodents and human patients [Figure created with BioRender.com].",full_text,0.8,pattern:\bpatients\b,2025-10-21 04:13:53
DAT_fc35a8,Dataset,"Our finding demonstrated the efficacy of artemisinin derivatives in alleviating PCOS symptoms in both rodent models and human patients, curbing hyperandrogenemia through suppression of ovarian androgen synthesis.",full_text,0.8,pattern:\bpatients\b,2025-10-21 04:13:53
DAT_ddaef4,Dataset,"More- over, COCs are often associated with side effects such as vascular thromboembolism (17), which limit their long-term clinical appli- cation, particularly for PCOS patients with metabolic disorders.",full_text,0.8,pattern:\bpatients\b,2025-10-21 04:13:53
DAT_2ef710,Dataset,"In this study, artemisinins were identified as promising candidates for treating PCOS because they strongly inhibited ovar- ian androgen synthesis, reduced immature fol- licles, and improved the estrous cycle in both PCOS rodent models and patients.",full_text,0.8,pattern:\bpatients\b,2025-10-21 04:13:53
DAT_831141,Dataset,"Subsequently, the mice were assessed for (C) serum testosterone (n = 6 to 12 biological replicates of mice), (D) estrous cycle analysis, and (E) hematoxylin and eosin (H&E) staining of representative ovaries showing cystic follicle or atretic follicle (asterisk), antral follicle (hash symbol), and corpora lutea or corpus albicans (arrow; scale bars",full_text,0.8,pattern:\bn\s*=\s*\d+,2025-10-21 04:13:53
